#timebase=-294967296(ps)
,#voltbase=2000000(mv/100)
#size=4164
5.76E-03,3.280
5.78E-03,3.440
5.80E-03,3.280
5.82E-03,3.280
5.84E-03,3.280
5.86E-03,3.360
5.88E-03,3.440
5.90E-03,3.280
5.92E-03,3.440
5.94E-03,3.440
5.96E-03,3.440
5.98E-03,3.440
6.00E-03,3.440
6.02E-03,3.280
6.04E-03,3.360
6.06E-03,3.360
6.08E-03,3.360
6.10E-03,3.280
6.12E-03,3.360
6.14E-03,3.360
6.16E-03,3.440
6.18E-03,3.280
6.20E-03,3.280
6.22E-03,3.280
6.24E-03,3.360
6.26E-03,3.440
6.28E-03,3.360
6.30E-03,3.280
6.32E-03,3.440
6.34E-03,3.280
6.36E-03,3.440
6.38E-03,3.360
6.40E-03,3.360
6.42E-03,3.280
6.44E-03,3.360
6.46E-03,3.440
6.48E-03,3.280
6.50E-03,3.360
6.52E-03,3.280
6.54E-03,3.360
6.56E-03,3.440
6.58E-03,3.440
6.60E-03,3.280
6.62E-03,3.440
6.64E-03,3.360
6.66E-03,3.360
6.68E-03,3.280
6.70E-03,3.360
6.72E-03,3.280
6.74E-03,3.280
6.76E-03,3.360
6.78E-03,3.280
6.80E-03,3.280
6.82E-03,3.360
6.84E-03,3.440
6.86E-03,3.280
6.88E-03,3.280
6.90E-03,3.440
6.92E-03,3.280
6.94E-03,3.280
6.96E-03,3.280
6.98E-03,3.360
7.00E-03,3.280
7.02E-03,3.360
7.04E-03,3.360
7.06E-03,3.280
7.08E-03,3.280
7.10E-03,3.440
7.12E-03,3.360
7.14E-03,3.280
7.16E-03,3.360
7.18E-03,3.440
7.20E-03,3.360
7.22E-03,3.280
7.24E-03,3.280
7.26E-03,3.280
7.28E-03,3.280
7.30E-03,3.440
7.32E-03,3.280
7.34E-03,3.280
7.36E-03,3.280
7.38E-03,3.360
7.40E-03,3.360
7.42E-03,3.360
7.44E-03,3.280
7.46E-03,3.280
7.48E-03,3.280
7.50E-03,3.280
7.52E-03,3.280
7.54E-03,3.360
7.56E-03,3.360
7.58E-03,3.360
7.60E-03,3.360
7.62E-03,3.280
7.64E-03,3.280
7.66E-03,3.440
7.68E-03,3.280
7.70E-03,3.280
7.72E-03,3.360
7.74E-03,3.360
7.76E-03,3.360
7.78E-03,3.360
7.80E-03,3.280
7.82E-03,3.280
7.84E-03,3.360
7.86E-03,3.360
7.88E-03,3.360
7.90E-03,3.280
7.92E-03,3.280
7.94E-03,3.360
7.96E-03,3.280
7.98E-03,3.280
8.00E-03,3.440
8.02E-03,3.360
8.04E-03,3.280
8.06E-03,3.280
8.08E-03,3.440
8.10E-03,3.360
8.12E-03,3.280
8.14E-03,3.280
8.16E-03,3.280
8.18E-03,3.360
8.20E-03,3.360
8.22E-03,3.360
8.24E-03,3.440
8.26E-03,3.360
8.28E-03,3.360
8.30E-03,3.280
8.32E-03,3.360
8.34E-03,3.280
8.36E-03,3.280
8.38E-03,3.280
8.40E-03,3.280
8.42E-03,3.360
8.44E-03,3.280
8.46E-03,3.360
8.48E-03,3.280
8.50E-03,3.280
8.52E-03,3.280
8.54E-03,3.280
8.56E-03,3.360
8.58E-03,3.360
8.60E-03,3.360
8.62E-03,3.360
8.64E-03,3.280
8.66E-03,3.440
8.68E-03,3.440
8.70E-03,3.280
8.72E-03,3.360
8.74E-03,3.280
8.76E-03,3.360
